id,artist,title,medium,year
46450,"turner, joseph mallord william",?at utrecht,graphite on paper,1825
26602,"opie, julian",imagine you are walking,screenprint on paper,1998
35491,"turner, joseph mallord william",bridge and cows,graphite and watercolour on paper,1806
20853,"picasso, pablo",woman at the window,aquatint and drypoint on paper,1952
44744,"turner, joseph mallord william","ships on medway, with town beyond",graphite on paper,1820
58755,"turner, joseph mallord william",(1) innsbruck: view of the city from across the inn; (2) mountains at innsbruck,graphite on paper,1833
37540,"turner, joseph mallord william",vessels,graphite on paper,1814
11696,"phillips, esq tom",[no title: p. 300],screenprint on paper,1970
48679,"turner, joseph mallord william",buildings,graphite on paper,1828
56123,"turner, joseph mallord william","?a curtained bed, with a figure or figures reclining",watercolour on paper,1834
56632,"turner, joseph mallord william","château d’argent and villeneuve, val d’aosta, from the west",graphite on paper,1836
54042,"turner, joseph mallord william",callander from the east with the parish church and ben ledi beyond,graphite on paper,1834
22865,"flaxman, john",[title not known],graphite and watercolour on paper,
28732,"turner, joseph mallord william","a waterfall among wooded rocks, probably swallow falls near betws-y-coed",graphite on paper,1798
43427,"turner, joseph mallord william","villas on the coast of posillipo, from via posillipo",graphite on paper,1819
42060,"turner, joseph mallord william",belforte del chienti,graphite on paper,1819
56583,"turner, joseph mallord william","three sketches: two mountain panoramas ?in the val d’aosta near st pierre; the via palazzo di citta, susa",graphite on paper,1836
28585,"turner, joseph mallord william","view of london ?from nunhead, with the sun breaking through stormy clouds; st paul’s cathedral in the distance","gouache, graphite and watercolour on paper",1796
41326,"turner, joseph mallord william",notes by turner from eustace’s ‘a classical tour through italy’,graphite on paper,1819
62824,"turner, joseph mallord william",shipping,graphite on paper,1845
34152,"turner, joseph mallord william","the city of london from the river thames, and riverside buildings",graphite on paper,1808
10209,"moore, henry, om, ch",reclining figure with sky background,lithograph on paper,1973
8248,"lacey, bruce","boy, oh boy, am i living!","2 prosthetic legs, 2 prosthetic arms, metal cylinder, plastic ball, glass eyes, motor, metal frame, wooden crate and oth",1964
61334,"turner, joseph mallord william","baden, switzerland",graphite on paper,1830
29143,"turner, joseph mallord william",caerphilly castle: part of the ruins from the south east,graphite on paper,1798
69611,"jones, george",[title not known],ink on paper,
35622,"turner, joseph mallord william","figure studies: mercury, etc.",pen and ink on paper,1802
4933,"gainsborough, thomas",mrs susanna gardiner,oil paint on canvas,1780
45814,"turner, joseph mallord william",[title not known],graphite on paper,1824
12154,"pomodoro, gio",untitled,intaglio print on paper,1975
21831,"dumas, marlene",magdalena 3,ink on paper,1996
1074,"blake, william",sketch for ‘tiriel supporting the dying myratana’. verso: sketch for ‘tiriel supporting the dying myratana’,graphite on paper. verso: graphite on paper,1786
